FB CG logFC FDR
FBgn0169233 Lsp1gamma -6.67387982095081 8.94474187304889e-05
FBgn0169490 Drs 4.21415976109844 0.00101868034734925
FBgn0169803 CG14089 3.76743410211994 0.0401168284613742
FBgn0171691 Lsp1beta -4.68993517289215 0.000944278433888422
FBgn0175569 Lcp1 -6.13944543127904 0.000397653682708348
FBgn0175911 Lcp3 -6.2222991547793 0.000328766730298437
FBgn0176346 AttC 4.62642504287659 2.83544198255812e-05
FBgn0176489 Mtk 3.77072385605824 0.00084883908996323
FBgn0176801 DptB 3.51367065048893 0.000909475215432378
FBgn0176914 CG13443 5.49257281978441 8.94474187304889e-05
FBgn0179234 PGRP-SB1 3.20007286516409 0.0104617711194319
